nr;RomName78;RomName;Game;Description
10;1944;1944;"1944 - The Loop Master (c) 2000 Capcom USA, Incorporated.
";"North American release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""1944 - The Loop Master [Green Board]"" (Japan 000620)."
11;1944j;1944j;"1944 - The Loop Master (c) 2000 Capcom Company, Limited.
";Warbirds Fly Again!
12;19xx;19xx;"19XX - The War Against Destiny (c) 1996 Capcom USA, Incorporated.
";"North American & European release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""19XX - The War Against Destiny [Green Board]""."
13;19xxa;19xxar1;"19XX - The War Against Destiny (c) 1996 Capcom Company, Limited.
";"Asian release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""19XX - The War Against Destiny [Green Board]""."
14;19xxh;19xxh;"19XX - The War Against Destiny (c) 1996 Capcom Company, Limited. 
";"South American release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""19XX - The War Against Destiny [Green Board]""."
15;19xxj;19xxjr1;"19XX - The War Against Destiny (c) 1996 Capcom.
";A vertical shoot'em up game.
16;19xxjr1;19xxjr2;"19XX - The War Against Destiny (c) 1996 Capcom.
";A vertical shoot'em up game.
17;2020bb;2020bb;"2020 Super Baseball (c) 1991 SNK Corporation.
";"There is no longer conventional baseball in 2020. The Super Baseball designed by the SUPER BASEBALL ASSOCIATION has been very popular and is the best sport. However, the truth is that the association has used a colossal sum of money to promote Super Baseball as show business. They have manipulated each player's ability using the control computer to secretly decide victory or defeat in every game. The players who knew this removed the connecting parts of the computer to play their own game of baseball.

Finally, a fair game in going to be played at ""CYBER EGG""!

FUTURISTIC SUPER BASEBALL, NOW PLAY BALL!

2020 Super Baseball:
1. Futuristic Graphics
2. Select 1 of 12 individual teams of men, women & robot players.
3. Fast paced game with new rules!
4. You can make your team stronger with prizes earned from amazing catches.
5. 2 players simultaneous competition with CONTINUE mode."
18;2020bbh;2020bbh;;
19;280zzzap;280zzzap;"Datsun 280 Zzzap (c) 1976 Midway.
";"Thrilling action matches skills against tight bends...
fast straights... S-curves & more for real driving excitement!

* Realistic Engine, Crash & Accelerator Sound Effects
* 3-Dimensional Driving Game with HIgh & Low Gear Shift
* Constantly Changing Race Course
* High Score of the Day Feature
* Adjustable Extended PLay
* Adjustable Time Control
* Proven Midway Micro Processor Logic Cards"
20;3countb;3countb;"Fire Suplex (c) 1993 SNK [Shin Nihon Kikaku].
";"CAN YOU SURVIVE THE ULTIMATE BATTLE?

The long-awaited, 100-Mega Shock charged Pro-Wrestling Game from NEO-GEO! 10 wrestlers, each equipped with Power Attacks and Malevolent Moves rage in the ring, biting, kicking and punching their way to the top spot in the Wrestling World. 
Competitive Play and Tage Match battles!"
21;3in1semi;3in1semi;"XESS - The New Revolution [SemiCom 3-in-1] (c) 1997 SemiCom.
";"Three games including ""New Hyperman"", ""Hyperman"" and ""Cookie & Bibis""."
22;3kokushi;3kokushi;"?Shikou Puzzle Game! SANKOKUSHI (c) 1996 Mitchell.
";"Sankokushi is an adult Shanghai solitaire game. Unlike in a standard mahjong solitaire game, tiles are removed in groups of three.  These groups may be made up of three matching tiles, or the number sets, 1-3, 4-6, or 7-9. The objective is to find the four, three-tile sets shown at the start of the stage and remove them from the game board before the timer runs out.

When a tile is selected, other tiles are lit up.  Tiles within the number sequence are shown in pink, and matching tiles are shown in orange.  The player may request hints by selecting the help button on screen, which will light up all tiles that can be removed from the board at that time.  There is also a back button, which the player may select to return tiles to the screen.

The background image in each stage is an image of a girl.  Each girl has two background images, with the second image showing the girl topless. Once a player removes the four tile sets for the stage, the board is cleared and the player may see the entire image.

After completing a stage the player may use the points he has earned to buy power-ups, such as extra hints or a faster cursor.

The game is over once the timer has run out or if the player cannot legally remove any more tiles and the board is 'deadlocked'.  Upon continuing the player may select to play the same board or play a different one."
23;3stooges;3stooges;"The Three Stooges in Brides is Brides (c) 1984 Mylstar Electronics.
";"""Curly, you made us lose again!""
""You Numbskull!""
""Relax, Fellas! Let's get some more tokens and play Again!""

The Three Stooges: For 1-2-3 Players at the same time.

* The 3 Stooges are searching for their fiancees, kidnapped by the Mad Scientist. Looking at the art gallery, they quickly turn it into a disaster area!
* In all rooms, the Stooges need to destroy the furniture and find the 3 hidden keys that unlock the exit. Using their hammers, Moe, Larry & Curly bang away!
* Interfering socialites and cops are dealt with in typical Stooges style: a face slap, a hammer to the noggin, or the ever-dependable cream pie.
* Bonus round: Avoid the sour notes of the opera singer as you collect the three keys to the exit. And watch out for the cops, too!
* In the Mad Scientist's laboratory, the Stooges rescue Cora, the first fiancee. That leaves Nora and Dora still in danger! Let the game continue!

DON'T MISS OUT ON THIS SUMMER'S HIT VIDEO!

Let Larry, Moe and Curly bring their hilarity and popularity to your game locations! Every player will want to be his favourite Stooge! Three Players at one time can mean greater profitability too!
Call your Mylstar distributor for the details on getting your Three Stooges video game!"
24;3wonders;3wonders;"Three Wonders (c) 1991 Capcom Company, Limited.
";"Export releases. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""Wonder 3 [B-Board 89625B-1]""."
25;3wonderu;3wondersu;"Three Wonders (c) 1991 Capcom Company, Limited.
";"Export releases. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""Wonder 3 [B-Board 89625B-1]""."
26;40love;40love;"40-0 - Forty-Love (c) 1984 Taito.
";A tennis game from Taito.
27;47pie2;47pie2;"Idol Janshi Suchie-Pai II (c) 1994 Jaleco.
";"Idol Janshi Suchie-Pai II is a strip mahjong game featuring seven opponents in eight stages (the final boss, having two costumes).  The player's character is Suchi-Pai. At the start of the game, the player selects their first opponent out of the other Mahjong Pies.  The remaining Pies are played in a random sequence before moving on to the final three stages, all played in order.

As in the original game, stages are completed by removing all the tiles from a matching game played between rounds of mahjong, or by completely wiping out an opponents betting funds. Once a girl is defeated, the player is shown that girls strip sequence.

Matching tiles in the matching game reward the player with bonus items that are used to cheat during following hands of mahjong.  Some tiles are used to fill up a meter instead of giving an item.  Once the meter is full, a revealing animated sequence is played of a defeated Mahjong Pie, who then joins Suchi-Pai in assisting the player.

If the player loses all of their betting funds, then the game is over."
28;47pie2o;47pie2o;"Idol Janshi Suchie-Pai II (c) 1994 Jaleco.
";"Idol Janshi Suchie-Pai II is a strip mahjong game featuring seven opponents in eight stages (the final boss, having two costumes).  The player's character is Suchi-Pai. At the start of the game, the player selects their first opponent out of the other Mahjong Pies.  The remaining Pies are played in a random sequence before moving on to the final three stages, all played in order.

As in the original game, stages are completed by removing all the tiles from a matching game played between rounds of mahjong, or by completely wiping out an opponents betting funds. Once a girl is defeated, the player is shown that girls strip sequence.

Matching tiles in the matching game reward the player with bonus items that are used to cheat during following hands of mahjong.  Some tiles are used to fill up a meter instead of giving an item.  Once the meter is full, a revealing animated sequence is played of a defeated Mahjong Pie, who then joins Suchi-Pai in assisting the player.

If the player loses all of their betting funds, then the game is over."
29;4dwarrio;4dwarrio;"4-D Warriors (c) 1985 Sega.
";A strange deep space shoot them up, which apparently has a 4th dimension. The game is a side scrolling shooter in which you take control of a jetpack propelled space warrior who travels between parallel universes and worm holes throughout the game. By flying over the top of the play field, you end up in an alternate universe. You travel back and forth defeating enemies until you reach a boss creature. On some occasions a worm hole will appear in the middle of the play field and you are taken to even stranger worlds...
30;4enraya;4enraya;"4 En Raya (c) 1990 IDSA (Ideas y Disenos, Sociedad Anonima).
";A puzzle game from Spain. Line up your pieces 4 in a row either vertically, horizontally or diagonally. You can also shoot your opponent's piece to cancel their turn. This game is very similar to the popular board game Connect 4.
31;4in1;4in1;"4 Fun in 1 (c) 1981 Armenia, Limited.
";"This multi-game system lets you select from four different games; ""Galactic Convoy"", ""Scramble Pt2"", ""Galaxian Pt5"" and ""The Ghost Muncher Pt3""."
32;4in1boot;4in1boot;"Puzzle King (c) 2002 K1soft.
";"

"
33;600;600;"600 (c) 1981 Konami.
";"600 is a maze game where the player is a turtle trying to bring baby turtles, called 'kidturtles' to their homes while avoiding beetles. Scattered throughout the maze are boxes with question marks on them. When the player walks over a question mark, a baby turtle will crawl onto the main turtle's back, a house will appear at a random location on the map, and the player will have to bring the baby turtle to its house while avoiding beetles. 

Other times, beetles will come out of the boxes, which the player will have to quickly run away from. The player's only offensive move is the ability to drop ""smart bombs"" to temporarily stun the beetles. The player's smart bombs can be refilled by grabbing the smart bombs in the middle of the maze. However, unlike actual smart bombs, the player's bombs do not move and stay in a single place until a beetle runs over it. 

You have eight floors to deal with the beetles, then you'll go to the roof to get your baby turtles, after you go get them, you walk home with the rest of the baby turtles you collected. The game pattern is endless."
34;64streej;64streetj;"64th. Street - A Detective Story (c) 1991 Jaleco Company, Limited.
";"Rick. PRIVATE DETECTIVE
3. OCT. 1939 file no. 238
The kidnapping of a rich man's daughter.

Beat the bad guys and throw them into the wall!

Rick and Allen's Detective Agency is on 64th st. They have specialized maneuvres to beat the enemy. When you are in trouble... call on a partner to join the game and assist you. A great new action game from Jaleco."
35;64street;64street;"64th. Street - A Detective Story (c) 1991 Jaleco Company, Limited.
";"Rick. PRIVATE DETECTIVE
3. OCT. 1939 file no. 238
The kidnapping of a rich man's daughter.

Beat the bad guys and throw them into the wall!

Rick and Allen's Detective Agency is on 64th st. They have specialized maneuvres to beat the enemy. When you are in trouble... call on a partner to join the game and assist you. A great new action game from Jaleco."
36;720;720;"720° (c) 1986 Atari Games. 
";"720° is a one or two-player arcade game with players taking on the role of a skateboarder, and must perform various tricks and maneuvers to earn the points and tickets needed to compete for medals in the game's numerous skate parks. 

The bulk of the action takes place in a 'Skate City', a small urban area made up of ramps, jumps and hazards. Players can skate anywhere they wish as they perform the tricks and jumps needed to reach the score thresholds that will earn them entry tickets to Skate City's skate parks to compete for medals and cash prizes. 

Each score threshold must be reached and a park entered within a tight time limit. Failure to do so sees the skater persued by a swarm of bees and the words SKATE OR DIE appear. Should the bees touch the skater before he enters a park, the game ends. Skate City's roads and pavements are populated with moving traffic and pedestrians and any collision with them will result in the skater being knocked from his board, costing the player precious seconds. 

The parks themselves each feature one of four different disciplines: Slalom, Jump, Downhill and Ramp. Each park has a timer and players can earn either a bronze, silver or gold medal - together with a cash prize - depending on how quickly the park is completed. If the park target score or finish line is not reached before the timer expires, no medal or money is awarded. 

Money won can be used to buy equipment upgrades from the stalls that litter Skate City. Players can buy upgraded boards, helmets, pads and shoes. Boards give faster speed; helmets allow for more risky maneuvers; pads give a faster recovery from falls and shoes provide more height on jumps, as well as giving a quicker standing start. 

At the start of each new game, players can select from one of two play modes. 'Training Level' is available for beginners and gives players numerous playing hints and tips. 'Experienced Level' is more challenging as well as offering fewer hints. It does, however, include the 'add-a-coin' feature, which allows for awards and items already won to be carried over to a new game. 

The main objective is to compete in as many skate parks as possible. There are numerous city hazards to be avoided, such as BMX riders, cars, Frisbee throwers and other skaters. To guide the player around Skate City are map tiles. Riding over one of these will temporaily pause the action and display the layout of the city, including the locations of the skate parks and equipment stalls. 

720° features ten 'class levels' which determine the degree of difficulty in the skate parks and the timer in the city streets. Each of the four skate parks is graded in difficulty, ranging from 1 (easiest) to 4 (hardest). 

By using the add-a-coin option available in the 'Advanced' game mode, players can keep any special skate equipment they have acquired in the previous game, as well as all accumulated cash, tickets, points and medals.

From Atari Games
THE ULTIMATE AERIAL EXPERIENCE!

* Superior graphics and animation for more player involvement.
* Realistic skateboard action lets players attempt daring maneuvers.
* Players select where they want to skate, making each game a different experience.
* New rotary controller allows full directional and circular motions.
* Contemporary cabinet design with new 25"" higher-resolution monitor.
* 8"" audio speakers to highlight the custom music scores, sound effects, and speech.
* Add-a-Coin feature keeps players in the action.

720° has all the thrills and skills of real skateboarding with both freestyle and competitive action. A totally unique game format challenges players to become champion of the skating world.

* Start by skating to a skatepark to select difficulty.
* Perform skate maneuvers in the city to earn tickets to get into a skatepark.
* The ""Ramp"" is one of over 20 skateparks.

By definition, a 720° is one of the most daring moves attempted only by the best, where the skater does a full 720-degree twist while soaring through the air. In 720°, the game, players can attempt to perform this move without bodily injury. This is only part of the fantasy world of 720°...

* Unique Action and Game Format.
The player portrays the skater who must earn the right to compete in the skateparks of the city and ultimately win the title of champion of the skating world. The action starts with the player in the middel of ""Skate City"", where all surfaces are skateable - a skateboarder's dream world! The player earns tickets by performing skillful skate maneuvers in the city.

These tickets allow him to enter the skateparks where he competes against the clock fot gold, silver or bronze medals. ""Cash"" prizes are awarded to the skater if he qualifies for a medal. After the skatepark competition, the game continues back in the city for more freestyle action. Numerous hazards and obstacles create a busy scenario in the city, and the skater has a limited time to get to another skatepark.

Players can use their ""cash"" winnings to buy skating equipment from various skate shops though-out the city. 
- BOARDS will give the player faster speed. 
- HELMETs allow more risk-taking for successful maneuvers. 
- PADS give faster recovery from falls. 
- SHOES provide better height on jumps and quicker starts.

* New Controls
Players controls consist of a rotary controller which allows full circular and directional movement. A kick button keeps the player skating, and a jump button is used to ""catch air"" for higher points. Anything goes in this game, as players learn to make incredible skate maneuvers.

* More Visual and Audio Entertainment.
720° has a new 25"" higher-resolution monitor for better graphics and animation than ever before. Plus, 8"" speakers highlight the custom music,  sound effects and speech, making the player feel like he's tight there in the action. 

* Operator Features
720° is equipped with the comprehensive self-test and statistics package on all recent Atari Games products. Operator difficulty adjustments are also provided by four different option switches.

* Special Game Features
- In 720° players create their own game action as they select where they want to skate. PLayers will find map areas in the city which will momentarily display the layout of the city and the skatepark locations.
- Players can select the class level in which they want to compete. At the start of each game, players skate towards one of four skateparks which very in difficulty from ""novice"" to ""pro"". As the game progresses players automatically advance to the next level.
- Players can compete on over 20 skateparks, each requires a different skill. There are variations of a half-pipe ramp, a downhill, a slalom and a jump park.
- The city is filled with hazards which the player must avoid, including: street traffic, BMX bikers, skater gangs, and frisbee throwers/
- An Add-a-Coin feature lets players stay in the action and keep any special skate equipment acquired."
37;720g;720g;"720° (c) 1986 Atari Games. 
";"720° is a one or two-player arcade game with players taking on the role of a skateboarder, and must perform various tricks and maneuvers to earn the points and tickets needed to compete for medals in the game's numerous skate parks. 

The bulk of the action takes place in a 'Skate City', a small urban area made up of ramps, jumps and hazards. Players can skate anywhere they wish as they perform the tricks and jumps needed to reach the score thresholds that will earn them entry tickets to Skate City's skate parks to compete for medals and cash prizes. 

Each score threshold must be reached and a park entered within a tight time limit. Failure to do so sees the skater persued by a swarm of bees and the words SKATE OR DIE appear. Should the bees touch the skater before he enters a park, the game ends. Skate City's roads and pavements are populated with moving traffic and pedestrians and any collision with them will result in the skater being knocked from his board, costing the player precious seconds. 

The parks themselves each feature one of four different disciplines: Slalom, Jump, Downhill and Ramp. Each park has a timer and players can earn either a bronze, silver or gold medal - together with a cash prize - depending on how quickly the park is completed. If the park target score or finish line is not reached before the timer expires, no medal or money is awarded. 

Money won can be used to buy equipment upgrades from the stalls that litter Skate City. Players can buy upgraded boards, helmets, pads and shoes. Boards give faster speed; helmets allow for more risky maneuvers; pads give a faster recovery from falls and shoes provide more height on jumps, as well as giving a quicker standing start. 

At the start of each new game, players can select from one of two play modes. 'Training Level' is available for beginners and gives players numerous playing hints and tips. 'Experienced Level' is more challenging as well as offering fewer hints. It does, however, include the 'add-a-coin' feature, which allows for awards and items already won to be carried over to a new game. 

The main objective is to compete in as many skate parks as possible. There are numerous city hazards to be avoided, such as BMX riders, cars, Frisbee throwers and other skaters. To guide the player around Skate City are map tiles. Riding over one of these will temporaily pause the action and display the layout of the city, including the locations of the skate parks and equipment stalls. 

720° features ten 'class levels' which determine the degree of difficulty in the skate parks and the timer in the city streets. Each of the four skate parks is graded in difficulty, ranging from 1 (easiest) to 4 (hardest). 

By using the add-a-coin option available in the 'Advanced' game mode, players can keep any special skate equipment they have acquired in the previous game, as well as all accumulated cash, tickets, points and medals.

From Atari Games
THE ULTIMATE AERIAL EXPERIENCE!

* Superior graphics and animation for more player involvement.
* Realistic skateboard action lets players attempt daring maneuvers.
* Players select where they want to skate, making each game a different experience.
* New rotary controller allows full directional and circular motions.
* Contemporary cabinet design with new 25"" higher-resolution monitor.
* 8"" audio speakers to highlight the custom music scores, sound effects, and speech.
* Add-a-Coin feature keeps players in the action.

720° has all the thrills and skills of real skateboarding with both freestyle and competitive action. A totally unique game format challenges players to become champion of the skating world.

* Start by skating to a skatepark to select difficulty.
* Perform skate maneuvers in the city to earn tickets to get into a skatepark.
* The ""Ramp"" is one of over 20 skateparks.

By definition, a 720° is one of the most daring moves attempted only by the best, where the skater does a full 720-degree twist while soaring through the air. In 720°, the game, players can attempt to perform this move without bodily injury. This is only part of the fantasy world of 720°...

* Unique Action and Game Format.
The player portrays the skater who must earn the right to compete in the skateparks of the city and ultimately win the title of champion of the skating world. The action starts with the player in the middel of ""Skate City"", where all surfaces are skateable - a skateboarder's dream world! The player earns tickets by performing skillful skate maneuvers in the city.

These tickets allow him to enter the skateparks where he competes against the clock fot gold, silver or bronze medals. ""Cash"" prizes are awarded to the skater if he qualifies for a medal. After the skatepark competition, the game continues back in the city for more freestyle action. Numerous hazards and obstacles create a busy scenario in the city, and the skater has a limited time to get to another skatepark.

Players can use their ""cash"" winnings to buy skating equipment from various skate shops though-out the city. 
- BOARDS will give the player faster speed. 
- HELMETs allow more risk-taking for successful maneuvers. 
- PADS give faster recovery from falls. 
- SHOES provide better height on jumps and quicker starts.

* New Controls
Players controls consist of a rotary controller which allows full circular and directional movement. A kick button keeps the player skating, and a jump button is used to ""catch air"" for higher points. Anything goes in this game, as players learn to make incredible skate maneuvers.

* More Visual and Audio Entertainment.
720° has a new 25"" higher-resolution monitor for better graphics and animation than ever before. Plus, 8"" speakers highlight the custom music,  sound effects and speech, making the player feel like he's tight there in the action. 

* Operator Features
720° is equipped with the comprehensive self-test and statistics package on all recent Atari Games products. Operator difficulty adjustments are also provided by four different option switches.

* Special Game Features
- In 720° players create their own game action as they select where they want to skate. PLayers will find map areas in the city which will momentarily display the layout of the city and the skatepark locations.
- Players can select the class level in which they want to compete. At the start of each game, players skate towards one of four skateparks which very in difficulty from ""novice"" to ""pro"". As the game progresses players automatically advance to the next level.
- Players can compete on over 20 skateparks, each requires a different skill. There are variations of a half-pipe ramp, a downhill, a slalom and a jump park.
- The city is filled with hazards which the player must avoid, including: street traffic, BMX bikers, skater gangs, and frisbee throwers/
- An Add-a-Coin feature lets players stay in the action and keep any special skate equipment acquired."
